Best,Time,Evals,Best_solution
0.005775077422588719,590.9346437454224,788,"[[1.4577365370125626, 0.41577508954249126, 0.4781052973657819, 0.5140535730669267, 0.7042123876169958, 0.5593294250482402, 0.6607080149034217, 0.8361233178801402, 0.7257251887981699, -0.40604171508342013]]"
0.0079972128640772,627.7866787910461,808,"[[0.7102449028643325, 0.33014466474274706, 0.42026076764344866, 0.7610374121325965, 0.16980548916619886, -0.2012862628197302, 0.6433838973315806, 0.8295451298233437, 0.49977654200495003, -0.05183114463076407]]"
0.003907675050059976,618.0649592876434,815,"[[0.7171112919931332, 0.6438963811043972, 0.6966079854375008, 0.01984968353902472, 0.4600864687091251, 0.5122073874149988, 0.14405055829154728, 0.40565829154403976, 0.6639496808361198, 1.104863977857742]]"
0.0023718671969057735,894.1521146297455,815,"[[1.0683164691964107, 0.25258258583885806, 0.23993039344676348, 0.41228532713625227, 0.633593616027393, 0.649250267664132, 0.10812247219724845, -0.3566710507940247, 0.5167046855657357, 0.2394111383911242]]"
0.004061901518203046,581.9761848449707,765,"[[0.8088970696240751, 0.42231127640704513, 0.4834893910542802, 0.01124831240752544, 0.701327300556615, 0.8929927139377422, 0.003444072929618014, 0.2913202243359162, 0.6617248534417304, 0.2893301181453076]]"
0.0027644890918692793,575.9267508983612,788,"[[0.6950905913656057, 0.6254431396978998, 0.5737307845575801, 0.2549323813003547, 0.8456858831624019, 0.9727002421212677, 0.6221332892211802, 0.7651799873482984, 0.22917662747336287, 0.6631081128867721]]"
0.008210508921485359,657.8605785369873,823,"[[0.6534016865010749, 0.3040763134488218, 0.4421216263703437, 0.7800831897351989, 0.500106708789402, 0.746894058576152, 0.41446665762197993, 0.6522164814919142, 0.4635308066126612, 0.7348476949317483]]"
0.0024653796705521114,628.1491603851318,805,"[[0.8433421277669215, 0.2128644784955932, -0.17822463494045038, 0.5034017194220254, 0.6552206743701657, 0.34379003326379176, -0.05948794653673324, 0.3152011709835104, 0.2862962808099522, 0.639474544899092]]"
0.006586381541101168,599.8660156726837,813,"[[1.2553493074853401, 0.5380638604005021, 0.6086219859606934, 0.5912037019772086, 0.1587695629939126, 0.9974715859770122, 0.7837331673500976, 0.9564051481705613, 0.3038354486850874, 0.2820622098545862]]"
0.0020118046822363805,644.49986743927,817,"[[0.954460314664961, 0.5210879478634756, 0.35480488297054436, 0.14936162591589353, -0.008257016832400654, 0.2618895168486348, 0.5844082961333978, 0.7210832114601299, 1.0711287461383445, 0.5359584960495242]]"
0.40293561668486527,816.2405462265015,823,"[[-0.18369721996723773, 0.2616435576538101, 0.8911878493739298, 0.5351928443150509, 0.5967815436488927, 0.46864940237604724, 0.5465090626899958, -0.1846948050333111, 0.7929086101491094, 0.5458690599925473]]"
0.0033392446422111977,662.7323062419891,866,"[[0.7011415254073274, 0.7327114970254026, 0.716119486348855, 0.9809603966416969, 1.074547947044742, 0.7499942828169903, 0.5102212510171152, 0.6855907165821775, 0.9276679888993912, 0.2482400426597957]]"
0.005597098331865788,645.4818863868713,810,"[[0.6404419307591279, 0.017852880285150974, 0.022366338416332954, 0.2549940078843872, 0.9535562435297686, 0.13515335560544206, 0.5475460677384757, 0.7498110124755974, 0.7186897206874753, 0.6703906600889387]]"
0.009323063862339956,611.6739158630371,813,"[[0.9474118732902729, 0.20226925530552697, 0.38203151588605644, 0.7354086529317851, 0.48896687546777357, 0.5448618561179889, 0.689945065152477, 0.9134247413929704, 0.6952015016805273, 0.32712965066548133]]"
0.0055586558105963505,640.3011794090271,810,"[[0.6503131333162084, 0.17443156314048402, 0.19098290144255337, 0.5308211572986736, 0.9712783733733094, 0.9513840756621907, 0.5099390963072795, 0.6969927500651291, 0.9727515785188375, 0.6338322257751586]]"
